"ID","Age","DistanceFromHome","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravel","Education","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","WorkLifeBalance","Department.Human Resources","Department.Research & Development","Department.Sales","EducationField.Human Resources","EducationField.Life Sciences","EducationField.Marketing","EducationField.Medical","EducationField.Other","EducationField.Technical Degree","Gender.Female","Gender.Male","JobRole.Healthcare Representative","JobRole.Human Resources","JobRole.Laboratory Technician","JobRole.Manager","JobRole.Manufacturing Director","JobRole.Research Director","JobRole.Research Scientist","JobRole.Sales Executive","JobRole.Sales Representative","MaritalStatus.Divorced","MaritalStatus.Married","MaritalStatus.Single","OverTime.No","OverTime.Yes"
77,37,1,5993,1,18,7,2,7,5,0,7,1,4,1,2,2,3,3,3,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1245,54,1,10502,7,17,33,2,5,4,1,4,2,4,4,3,3,3,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
147,34,7,6074,1,24,9,3,9,7,0,6,2,3,1,1,2,3,4,4,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1026,39,1,12742,1,16,21,3,21,6,11,8,1,1,4,2,4,4,3,3,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1111,28,1,2596,1,15,1,2,1,0,0,0,2,3,1,2,1,2,3,1,2,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1445,24,4,4162,1,12,5,3,5,4,0,3,1,1,4,3,2,3,3,3,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
455,29,9,3983,0,17,4,2,3,2,2,2,1,5,2,2,1,4,3,3,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
513,36,2,7596,1,13,10,2,10,9,9,0,1,2,2,2,3,3,3,2,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
305,33,4,2622,6,21,7,3,3,2,1,1,1,4,3,2,1,2,4,4,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1383,34,2,6687,1,11,14,2,14,11,4,11,1,4,3,3,2,4,3,4,0,4,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1714,24,22,1555,1,11,1,2,1,0,0,0,1,1,4,1,1,3,3,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1587,35,10,6142,3,16,10,4,5,2,0,4,1,4,1,3,2,3,3,3,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
297,30,3,2657,5,11,8,5,5,2,0,4,1,3,4,3,1,1,3,3,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
578,54,8,3780,7,11,19,3,1,0,0,0,1,4,3,3,2,3,3,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1447,34,1,3294,5,17,7,2,5,4,0,2,1,3,4,2,1,2,3,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
925,47,2,3294,1,18,3,3,3,2,1,2,1,4,4,2,1,4,3,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2036,36,15,5406,1,24,15,4,15,12,11,11,0,4,4,1,2,4,4,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1172,35,1,2258,6,12,10,2,8,0,1,7,1,4,4,2,1,3,3,2,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1497,29,19,8620,1,14,10,3,10,7,0,4,1,3,3,2,2,3,3,3,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
161,56,14,4963,9,18,7,2,5,4,4,3,1,4,2,3,1,2,3,1,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
544,45,10,2654,3,21,8,3,2,2,0,2,1,2,1,3,1,4,4,4,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
288,46,1,9396,7,16,17,3,4,2,0,3,1,4,4,3,3,1,3,3,1,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1800,39,10,13464,7,21,9,3,4,3,2,2,1,1,3,3,3,3,4,3,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
776,52,3,16856,1,11,34,3,34,6,1,16,1,4,3,2,4,1,3,1,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
951,32,1,2332,6,20,5,3,3,0,0,2,0,3,3,2,1,2,4,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
624,46,18,10527,5,11,28,3,2,2,1,2,2,1,1,3,3,3,3,4,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
536,28,17,4558,1,12,10,2,10,0,1,8,1,2,3,3,2,1,3,4,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
824,29,23,2700,1,24,10,3,10,7,0,7,1,2,3,4,1,3,4,3,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2056,39,24,12031,0,11,21,2,20,9,9,6,1,1,2,2,4,4,3,1,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1238,33,9,2781,0,13,15,5,14,10,4,10,1,3,1,3,1,4,3,2,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
307,38,3,10609,0,12,17,6,16,10,5,13,1,3,1,3,3,3,3,3,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1850,27,5,2379,0,14,6,3,5,4,0,2,2,2,4,3,1,4,3,3,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
235,19,1,2325,0,21,1,5,0,0,0,0,2,1,3,1,1,1,4,1,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1013,54,17,10739,8,11,22,2,10,7,0,8,1,3,3,3,3,3,3,3,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
901,53,23,14275,6,18,33,0,12,9,3,8,1,4,4,3,4,4,3,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1044,33,8,2342,0,19,3,2,2,2,2,2,0,1,2,2,1,4,3,4,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
366,29,2,6644,2,19,10,2,0,0,0,0,1,3,1,2,2,2,3,2,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
702,33,3,3348,1,11,10,3,10,8,9,7,2,3,1,3,1,1,3,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
836,42,29,4434,1,13,10,3,9,8,7,8,1,3,2,3,2,2,3,4,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1597,34,10,5063,1,14,8,3,8,2,7,7,2,4,4,2,2,3,3,2,1,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1029,42,5,18303,6,13,21,3,1,0,0,0,1,2,4,3,5,3,3,2,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
476,26,1,5296,1,17,8,3,8,7,7,7,1,3,3,3,2,3,3,2,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1424,55,1,14732,2,13,31,4,7,7,0,0,1,4,2,4,4,4,3,4,2,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2044,50,1,6728,7,12,12,3,6,3,0,1,2,4,2,3,2,3,3,4,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1885,37,7,4284,5,22,16,2,5,3,0,4,1,4,4,3,2,1,4,3,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1612,45,26,4385,1,15,10,2,10,7,4,5,0,3,1,2,2,1,3,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
754,43,15,6804,3,18,7,5,2,2,2,2,2,3,4,2,2,4,3,3,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
42,39,5,2086,3,14,19,6,1,0,0,0,1,3,4,3,2,4,3,3,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1125,38,2,7351,7,16,10,2,1,0,0,0,1,2,4,3,3,2,3,3,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
95,31,1,2501,1,17,1,4,1,1,1,0,1,4,3,3,1,2,3,2,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
353,51,1,2723,1,11,1,0,1,0,0,0,1,3,3,3,1,4,3,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1237,36,1,10252,2,21,17,2,7,7,7,7,1,3,3,1,3,1,4,3,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2062,39,6,9991,4,15,9,5,7,7,1,7,1,1,4,2,3,1,3,1,1,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
772,32,24,5309,1,15,10,2,10,8,4,7,2,4,1,3,2,4,3,4,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1647,27,8,3517,7,17,5,0,3,2,0,2,1,3,2,4,1,3,3,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2022,39,9,19431,2,13,21,3,6,0,1,3,0,3,4,3,5,4,3,3,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1577,34,7,2972,1,13,1,4,1,0,0,0,1,4,1,3,1,4,3,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
247,34,27,2311,2,15,9,3,3,2,1,2,1,2,4,3,1,2,3,4,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
327,43,16,16064,5,22,22,3,17,13,1,9,1,3,4,3,4,4,4,3,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1721,31,2,3477,1,14,6,2,5,2,0,3,1,4,2,3,1,3,3,4,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
163,31,6,6172,4,18,12,3,7,7,7,7,1,4,2,1,2,3,3,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
724,38,1,7625,0,13,10,4,9,7,1,8,1,4,2,4,2,4,3,3,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
479,36,1,6653,4,15,7,6,1,0,0,0,0,5,4,3,2,4,3,2,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
605,42,24,7406,1,21,10,5,10,9,5,8,1,3,4,3,3,1,4,4,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
158,43,26,16959,1,12,25,3,25,12,4,12,2,2,3,3,4,4,3,4,2,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
481,36,3,9699,4,11,16,2,13,9,1,12,2,4,1,2,3,4,3,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1081,51,4,2461,9,12,18,2,10,0,2,7,1,4,1,3,1,3,3,3,3,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1391,51,2,10596,2,11,14,5,4,2,3,2,2,3,2,3,3,2,3,2,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
692,33,6,7725,3,23,15,2,13,11,4,7,2,3,3,3,2,4,4,3,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1987,25,2,2187,4,14,6,3,2,0,1,2,1,3,3,3,1,2,3,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
446,33,10,4682,3,14,9,6,7,7,0,1,2,3,2,2,2,4,3,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1803,42,13,5538,5,18,10,2,0,0,0,0,1,3,2,4,2,1,3,3,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1657,20,2,2783,1,19,2,3,2,2,2,2,1,3,3,3,1,3,3,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
470,42,2,2696,0,11,4,5,3,2,1,0,1,1,3,3,1,3,3,3,1,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2037,41,3,8938,2,11,14,5,5,4,0,4,1,3,3,2,2,2,3,3,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
844,27,5,12808,1,16,9,3,9,8,0,8,1,1,3,2,3,4,3,2,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
104,30,1,5126,1,12,10,1,10,8,3,0,1,1,4,2,2,4,3,3,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
861,30,5,3761,9,12,10,3,5,4,0,3,2,4,2,2,1,4,3,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4,37,2,2090,6,15,7,3,0,0,0,0,1,2,4,2,1,3,3,2,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1551,24,21,2296,0,14,2,3,1,1,0,0,1,2,3,2,1,1,3,2,3,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
273,38,29,6261,3,18,9,3,7,7,1,7,1,3,4,3,2,4,3,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1338,56,8,19717,6,14,36,4,7,3,7,7,1,4,4,3,5,2,3,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
830,32,4,6162,1,12,14,3,14,13,6,8,1,3,3,2,2,3,3,3,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
508,30,2,2476,1,18,1,3,1,0,0,0,1,1,3,3,1,2,3,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
245,38,9,2288,1,12,2,3,2,2,2,1,1,2,3,3,1,4,3,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1399,25,18,6232,2,11,6,3,3,2,1,2,1,1,1,4,2,3,3,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1737,39,1,6472,1,15,9,2,9,8,5,8,0,3,4,3,2,4,3,4,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
81,59,25,7637,7,11,28,3,21,16,7,9,1,3,1,3,3,1,3,4,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
982,30,8,7264,5,11,10,2,8,4,7,7,1,2,3,3,3,3,3,1,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
532,56,6,13212,9,11,36,0,7,7,7,7,2,3,3,4,4,1,3,4,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
916,28,5,4908,1,14,4,3,4,2,0,2,1,4,1,3,2,4,3,2,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1997,38,6,5321,2,11,10,1,8,3,7,7,2,4,1,2,2,3,3,4,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
498,28,9,5253,1,16,7,1,7,5,0,7,1,4,2,3,2,4,3,4,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
243,19,2,1102,1,22,1,3,1,0,1,0,1,3,2,2,1,4,4,3,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
28,34,7,11994,0,11,13,4,12,6,2,11,1,4,1,3,3,2,3,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
211,51,7,6132,2,17,10,2,1,0,0,0,1,4,2,2,2,3,3,3,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1720,32,10,3433,6,13,10,3,5,2,1,3,2,3,1,3,1,3,3,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2052,35,1,2977,1,12,4,5,4,3,1,1,1,4,3,1,1,4,3,4,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
140,59,2,18844,9,21,30,3,3,2,2,2,0,4,3,2,5,4,4,4,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1816,30,10,9667,9,14,9,3,7,7,0,2,1,3,1,3,3,3,3,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1762,29,4,2109,1,13,1,2,1,0,0,0,1,3,4,2,1,1,3,3,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
546,52,4,16555,2,13,31,2,5,2,1,4,1,2,4,3,4,4,3,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
238,36,3,2088,4,12,13,3,8,7,7,2,2,2,4,3,1,2,3,3,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2053,29,13,4025,4,13,10,2,4,3,0,3,1,2,4,2,2,2,3,1,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1621,35,18,5208,1,11,16,2,16,15,1,10,1,5,2,4,2,1,3,4,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1273,25,24,1118,1,14,1,4,1,0,1,0,2,1,3,1,1,4,3,4,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
799,54,19,5485,9,11,9,4,5,3,1,4,1,4,4,3,2,1,3,2,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
420,32,7,5484,1,14,13,3,13,8,4,8,1,3,4,2,2,3,3,3,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
329,52,2,19068,1,18,33,2,33,7,15,12,0,4,1,2,5,3,3,4,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
581,31,9,10648,1,25,13,6,13,8,0,8,1,1,3,3,3,2,4,4,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1248,19,10,1859,1,25,1,2,1,1,0,0,0,3,1,2,1,2,4,2,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
