"","x"
"1",0
"2",1
"3",0
"4",1
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",1
"23",1
"24",1
"25",0
"26",1
"27",0
"28",0
"29",1
"30",0
"31",1
"32",0
"33",0
"34",1
"35",1
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",0
"43",1
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",1
"53",1
"54",0
"55",0
"56",1
"57",0
"58",0
"59",1
"60",0
"61",0
"62",0
"63",0
"64",0
"65",1
"66",1
"67",0
"68",1
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",1
"77",0
"78",0
"79",0
"80",0
"81",0
"82",1
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",0
"95",1
"96",0
"97",0
"98",0
"99",1
"100",1
"101",0
"102",1
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",1
"110",1
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",1
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",1
"135",1
"136",0
"137",1
"138",0
"139",1
"140",0
"141",0
"142",1
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",1
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",1
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",1
"179",0
"180",0
"181",0
"182",0
"183",1
"184",0
"185",0
"186",1
"187",0
"188",0
"189",1
"190",1
"191",1
"192",0
"193",0
"194",0
"195",0
"196",0
"197",1
"198",0
"199",0
"200",1
"201",0
"202",0
"203",0
"204",1
"205",0
"206",0
"207",0
"208",1
"209",0
"210",0
"211",0
"212",0
"213",1
"214",0
"215",0
"216",1
"217",0
"218",0
"219",1
"220",0
"221",1
"222",0
"223",0
"224",0
"225",0
"226",1
"227",0
"228",0
"229",0
"230",1
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",1
"249",0
"250",0
"251",1
"252",0
"253",1
"254",0
"255",1
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",1
"266",0
"267",0
"268",1
"269",1
"270",1
"271",0
"272",0
"273",0
"274",1
"275",0
"276",0
"277",1
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",1
"294",0
"295",0
"296",1
"297",1
"298",1
"299",0
"300",0
"301",1
"302",1
"303",0
"304",0
"305",0
"306",1
"307",1
"308",1
"309",0
"310",0
"311",1
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",1
"323",0
"324",0
"325",1
"326",1
"327",0
"328",0
"329",1
"330",1
"331",1
"332",1
"333",0
"334",0
"335",1
